name,ring,quadrant,isNew,description
.Net,Hold,Languages & Frameworks,TRUE,Suite Microscoft pour le déploiement d'application Web
ActiveMQ,Hold,Tools,TRUE,
AD On Premise,Adopt,Platforms,FALSE,kerberos / pam_ldap / Radius / 
Airflow,Adopt,Platforms,FALSE,Ordonnancement
AIX,Hold,Platforms,FALSE,OS UNIX IBM pour architecture POWER
Amazon CloudFront,Adopt,Platforms,FALSE,Réseau de diffusion de contenu statique (CDN) rapide et fortement sécurisé 
Amazon CloudWatch,Hold,Platforms,FALSE,Service de surveillance et d'observabilité des ressources et des applications
Amazon ECR,Adopt,Platforms,FALSE,EC2 Container Registry (ECR) - Registre de conteneurs
Amazon ECS,Hold,Platforms,FALSE,Elastic Container Service- Service d'orchestration de conteneurs propriétaire AWS 
Amazon EC2,Hold,Platforms,FALSE,Capacité de calcul évolutive (Amazon Elastic Compute Cloud)
Amazon EFS,Hold,Platforms,FALSE,"Elastic File System - Système de fichiers de type Block, élastique, simple et sans serveur (Amazon EFS)"
Amazon EKS,Adopt,Platforms,FALSE,Plateforme de conteneurs qui repose sur Kubernetes (Amazon EKS)
Amazon Elastic Block Store,Hold,Platforms,FALSE,Service de stockage par bloc conçu pour Amazon EC2 (Amazon Elastic Block Store)
Amazon Elastic Load Balancing,Adopt,Platforms,FALSE,Service de répartition de charge pour le cloud (Amazon Elastic Load Balancing)
Amazon Linux 2,Adopt,Platforms,TRUE,OS EC2
Amazon Route 53,Adopt,Platforms,FALSE,Service de système de noms de domaine (DNS)
Amazon S3,Adopt,Platforms,FALSE,Service de stockage de données orienté Objet (Amazon Simple Storage Service)
Amazon SES,Hold,Platforms,FALSE,Service de messagerie électronique (Amazon Simple Email Service)
Amazon GuardDuty,Trial,Platforms,FALSE,Service de détection intelligente des menaces et activités malveillantes dans AWS
Amazon VPC,Adopt,Platforms,FALSE,Réseau virtuel dédié à un compte AWS (Virtual private cloud)
AWS Backup,Adopt,Platforms,FALSE,Service de sauvegarde centralisée dans le cloud
Amazon MWAA,Trial,Platforms,FALSE,Managed Workflows for Apache Airflow - Plateforme d'orchestration de flux de travail basé sur la solution open-source apache Airflow (Amazon MWAA)
AWS Certificate Manager,Hold,Platforms,FALSE,"Service pour la gestion des certificats Secure Sockets Layer/Transport Layer Security (SSL/TLS) publics et privés"
AWS CloudTrail,Adopt,Platforms,FALSE,Service de suivi et d’audit de l'activité des utilisateurs et de l'utilisation des API AWS
AWS Direct Connect,Adopt,Platforms,FALSE,Service de connexion réseau dédiée entre AWS et nos Datacenters On-Premise
AWS IAM,Adopt,Platforms,FALSE,Service de gestion des identités et des accès aux ressources déployées dans AWS (AWS Identity and Access Management)
AWS KMS,Adopt,Platforms,FALSE,Key Management Service - Service de gestion des clés cryptographiques pour le chiffrement des données (AWS KMS)
AWS Secrets Manager,Hold,Platforms,FALSE,"Gestion des secrets (informations d'identification de base de données, des clés d'API et d'autres secrets)"
AWS Systems Manager,Hold,Platforms,FALSE,Service permettant d'établir des connexions sécurisées à nos instances Amazon EC2 (AWS Systems Manager Session Manager)
AWS Transfer Family,Adopt,Platforms,FALSE,Service de flux de travail de transfert de fichiers sans serveur (AWS Transfer Family for SFTP)
AWS WAF,Adopt,Platforms,FALSE,Service de pare-feu d'application Web permettant le contrôle du trafic entrant des applications et sites Web
